465,3,269,513
465,3,269,513
465,4,269,513
465,6,269,513
465,9,269,513
465,12,269,513
465,16,269,513
464,19,269,513
463,23,269,513
462,27,269,513
460,27,269,513
458,27,269,513
457,27,269,513
456,27,269,513
455,27,269,513
454,27,269,513
453,27,269,513
453,27,269,513
453,27,269,513
453,27,269,513
453,27,269,513
454,27,269,513
455,27,269,513
456,27,269,513
457,27,269,513
458,27,269,513
458,27,269,513
458,27,269,513
459,27,269,513
460,27,269,513
461,27,269,513
462,27,269,513
463,27,269,513
464,27,269,513
464,27,269,513
464,27,269,513
464,27,269,513
464,27,269,513
464,27,269,513
464,26,269,513
464,25,269,513
465,25,269,513
465,24,269,513
465,23,269,513
465,22,269,513
465,21,269,513
465,20,269,513
465,19,269,513
465,18,269,513
464,17,269,513
581,131,140,378
580,130,140,378
579,129,140,378
578,129,140,378
577,129,140,378
576,129,140,378
575,129,140,378
574,129,140,378
573,129,140,378
572,129,140,378
571,129,140,378
570,129,140,378
569,129,140,378
568,129,140,378
568,129,140,378
568,129,140,378
568,129,140,378
568,129,140,378
568,129,140,378
568,129,140,378
568,130,140,378
568,131,140,378
568,132,140,378
568,133,140,378
568,134,140,378
568,136,140,378
568,138,140,378
568,140,140,378
568,142,140,378
568,144,140,378
568,146,140,378
568,148,140,378
568,150,140,378
568,152,140,378
568,154,140,378
568,156,140,378
568,158,140,378
568,160,140,378
568,162,140,378
568,162,140,378
568,162,140,378
568,162,140,378
568,162,140,378
568,162,140,378
568,162,140,378
568,162,140,378
568,162,140,378
568,162,140,378
568,162,140,378
568,162,140,378
